iter	Passed	Remaining
0	1	102
1	1	96
2	2	95
3	3	84
4	4	82
5	5	78
6	5	76
7	6	74
8	7	73
9	7	71
10	8	69
11	9	69
12	10	67
13	10	66
14	11	66
15	13	73
16	14	72
17	16	75
18	17	75
19	18	73
20	19	72
21	20	71
22	20	69
23	21	68
24	22	67
25	23	66
26	23	64
27	24	63
28	25	62
29	26	61
30	27	60
31	28	59
32	29	59
33	30	58
34	30	57
35	31	56
36	33	56
37	33	55
38	34	54
39	35	53
40	36	51
41	36	50
42	37	49
43	37	48
44	38	47
45	39	46
46	40	45
47	41	44
48	41	43
49	43	43
50	44	42
51	45	41
52	46	40
53	47	40
54	47	39
55	48	38
56	49	37
57	50	36
58	51	35
59	51	34
60	52	33
61	53	32
62	53	31
63	54	30
64	55	29
65	56	28
66	57	28
67	58	27
68	59	26
69	60	25
70	60	24
71	61	23
72	62	23
73	63	22
74	64	21
75	65	20
76	65	19
77	66	18
78	67	17
79	68	17
80	69	16
81	69	15
82	70	14
83	71	13
84	72	12
85	73	11
86	74	11
87	75	10
88	76	9
89	77	8
90	77	7
91	78	6
92	79	5
93	80	5
94	81	4
95	82	3
96	82	2
97	83	1
98	84	0
99	85	0
