iter	Passed	Remaining
0	141	141681
1	142	71159
2	143	47594
3	143	35811
4	144	28753
5	145	24059
6	145	20693
7	146	18163
8	147	16195
9	147	14620
10	148	13347
11	149	12271
12	149	11359
13	150	10578
14	150	9901
15	151	9307
16	151	8784
17	152	8319
18	153	7903
19	153	7528
20	154	7189
21	154	6881
22	155	6606
23	156	6348
24	156	6111
25	157	5901
26	158	5698
27	158	5510
28	159	5335
29	159	5172
30	160	5020
31	161	4876
32	161	4742
33	162	4616
34	163	4494
35	163	4380
36	164	4272
37	164	4170
38	165	4072
39	165	3981
40	166	3894
41	167	3812
42	167	3733
43	168	3657
44	169	3588
45	169	3521
46	170	3455
47	171	3392
48	171	3332
49	172	3274
50	173	3224
51	173	3170
52	174	3117
53	175	3067
54	175	3018
55	176	2972
56	176	2927
57	177	2883
58	178	2841
59	178	2800
60	179	2761
61	179	2722
62	180	2685
63	181	2649
64	181	2615
65	182	2581
66	183	2548
67	183	2518
68	184	2488
69	185	2458
70	185	2430
71	186	2402
72	187	2375
73	187	2348
74	188	2322
75	188	2296
76	189	2272
77	190	2247
78	190	2223
79	191	2199
80	191	2177
81	192	2155
82	192	2131
83	193	2110
84	194	2089
85	194	2069
86	195	2049
87	195	2029
88	196	2011
89	197	1992
90	197	1974
91	198	1957
92	198	1940
93	199	1925
94	200	1909
95	201	1893
96	201	1879
97	202	1863
98	203	1848
99	203	1833
100	204	1818
101	204	1803
102	205	1789
103	206	1774
104	206	1760
105	207	1747
106	207	1734
107	208	1721
108	209	1708
109	209	1696
110	210	1683
111	210	1671
112	211	1659
113	211	1647
114	212	1635
115	213	1624
116	213	1613
117	214	1602
118	214	1591
119	215	1580
120	216	1570
121	216	1558
122	217	1548
123	217	1538
124	218	1528
125	218	1518
126	219	1508
127	220	1498
128	220	1490
129	221	1481
130	221	1472
131	222	1463
132	223	1454
133	223	1446
134	224	1437
135	224	1428
136	225	1420
137	226	1412
138	226	1403
139	227	1395
140	228	1389
141	228	1381
142	229	1373
143	229	1365
144	230	1358
145	230	1350
146	231	1343
147	232	1335
148	232	1328
149	233	1321
150	233	1314
151	234	1307
152	234	1300
153	235	1293
154	236	1286
155	236	1280
156	237	1273
157	237	1267
158	238	1261
159	239	1255
160	239	1247
161	240	1241
162	240	1235
163	241	1229
164	241	1223
165	242	1218
166	243	1212
167	243	1207
168	244	1201
169	244	1196
170	245	1190
171	246	1185
172	246	1179
173	247	1174
174	247	1169
175	248	1163
176	249	1158
177	249	1153
178	250	1148
179	250	1143
180	251	1138
181	252	1133
182	252	1128
183	253	1123
184	253	1118
185	254	1113
186	254	1108
187	255	1103
188	256	1099
189	256	1094
190	257	1090
191	258	1086
192	258	1082
193	259	1077
194	259	1073
195	260	1068
196	261	1064
197	261	1059
198	262	1055
199	262	1051
200	263	1046
201	263	1042
202	264	1038
